"ccs4","ccs6","IDCCS"
2,2,35
2,2,36
3,5,37
2,2,38
2,2,39
1,6,4
2,2,40
2,2,41
2,2,42
1,6,1
1,1,11
1,1,12
1,1,13
1,6,14
1,6,15
1,6,16
1,6,17
4,4,18
4,4,19
1,6,2
4,4,20
1,6,21
1,6,22
4,4,23
1,6,24
4,4,25
4,4,26
4,4,27
1,6,28
4,4,29
1,6,3
3,3,30
3,3,31
1,6,33
1,6,34
1,1,10
1,6,8
1,6,32
2,2,43
2,2,44
2,2,45
2,2,46
2,2,47
2,2,48
2,2,49
1,6,5
2,2,50
2,2,51
2,2,52
2,2,53
2,2,54
2,2,55
3,3,56
3,3,57
3,3,58
3,3,59
1,6,6
3,3,60
3,3,61
3,3,62
3,3,63
3,3,64
3,3,65
2,2,66
2,2,67
2,2,68
2,2,69
1,6,7
2,2,70
2,2,71
2,2,72
2,2,73
2,2,74
2,2,75
1,1,76
1,6,77
1,1,9
