"k4","k6","IDK"
4,4,35
3,5,36
3,1,37
3,4,38
4,4,39
2,3,4
3,2,40
4,4,41
4,4,42
2,3,1
2,5,11
2,5,12
4,5,13
1,6,14
2,6,15
2,6,16
2,5,17
1,6,18
1,6,19
2,5,2
1,6,20
1,6,21
2,3,22
1,6,23
2,3,24
4,2,25
3,2,26
3,2,27
2,3,28
3,2,29
2,3,3
1,6,30
1,6,31
2,3,33
2,5,34
2,5,10
2,3,8
2,3,32
4,2,43
4,2,44
4,4,45
4,4,46
4,4,47
4,4,48
4,2,49
2,5,5
4,4,50
4,4,51
1,6,52
4,4,53
3,2,54
1,6,55
2,6,56
1,6,57
1,6,58
1,6,59
2,3,6
2,5,60
1,6,61
1,6,62
1,6,63
1,6,64
1,6,65
1,6,66
4,2,67
3,2,68
4,2,69
2,5,7
4,4,70
4,4,71
4,5,72
4,4,73
2,5,74
4,4,75
2,5,76
2,3,77
2,5,9
